Idx,sin_value
0,0.0
1,0.06279051952931337
2,0.12533323356430426
3,0.18738131458572463
4,0.2486898871648548
5,0.3090169943749474
6,0.368124552684678
7,0.4257792915650727
8,0.4817536741017153
9,0.5358267949789967
10,0.5877852522924731
11,0.6374239897486897
12,0.6845471059286887
13,0.7289686274214116
14,0.7705132427757893
15,0.8090169943749475
16,0.8443279255020151
17,0.8763066800438637
18,0.9048270524660196
19,0.9297764858882515
20,0.9510565162951535
21,0.9685831611286311
22,0.9822872507286887
23,0.9921147013144779
24,0.9980267284282716
25,1.0
26,0.9980267284282716
27,0.9921147013144778
28,0.9822872507286886
29,0.9685831611286311
30,0.9510565162951535
31,0.9297764858882515
32,0.9048270524660195
33,0.8763066800438635
34,0.844327925502015
35,0.8090169943749475
36,0.7705132427757893
37,0.7289686274214114
38,0.6845471059286885
39,0.6374239897486895
40,0.5877852522924732
41,0.5358267949789967
42,0.4817536741017152
43,0.4257792915650725
44,0.36812455268467775
45,0.3090169943749471
46,0.24868988716485482
47,0.18738131458572457
48,0.1253332335643041
49,0.06279051952931314
50,-3.216245299353273e-16
51,-0.06279051952931335
52,-0.12533323356430429
53,-0.18738131458572477
54,-0.24868988716485502
55,-0.30901699437494773
56,-0.3681245526846783
57,-0.42577929156507266
58,-0.4817536741017154
59,-0.5358267949789968
60,-0.5877852522924734
61,-0.63742398974869
62,-0.6845471059286887
63,-0.7289686274214116
64,-0.7705132427757894
65,-0.8090169943749473
66,-0.8443279255020153
67,-0.8763066800438636
68,-0.9048270524660198
69,-0.9297764858882515
70,-0.9510565162951535
71,-0.9685831611286312
72,-0.9822872507286887
73,-0.9921147013144779
74,-0.9980267284282716
75,-1.0
76,-0.9980267284282716
77,-0.9921147013144779
78,-0.9822872507286886
79,-0.9685831611286311
80,-0.9510565162951536
81,-0.9297764858882512
82,-0.9048270524660196
83,-0.8763066800438634
84,-0.844327925502015
85,-0.809016994374947
86,-0.770513242775789
87,-0.7289686274214116
88,-0.6845471059286883
89,-0.6374239897486896
90,-0.5877852522924726
91,-0.5358267949789963
92,-0.4817536741017153
93,-0.4257792915650722
94,-0.36812455268467786
95,-0.3090169943749468
96,-0.2486898871648545
97,-0.18738131458572468
98,-0.1253332335643038
99,-0.06279051952931326
100,6.432490598706546e-16
